datetime,光電業,其他,化學工業,半導體,居家生活,建材營造,數位雲端,文化創意業,材料,汽車工業,油電燃氣業,生技醫療,綠能環保,航運業,觀光餐旅,資訊服務業,通信網路業,金融業,鋼鐵工業,電子商務,電子通路業,電子零組件,電機機械,電腦及週邊,食品工業
2013-05-15,1.3026082568807338,0.6422857142857142,0.5559944444444445,0.4213260162601626,1.4304239130434782,1.199804081632653,0.8327428571428571,0.06801578947368425,0.9754023255813954,1.1067333333333333,0.6844250000000001,0.4973738461538462,1.1464363636363637,0.5830380952380952,0.702136,0.28696666666666665,0.6353154929577465,1.2745795454545454,0.236545,-0.3968,-0.10284871794871793,0.5127902723735409,0.24083833333333332,0.6032178947368422,0.7279916666666667
2013-05-16,1.1857137614678899,-0.03605714285714287,0.19742777777777779,0.8367390243902438,0.8173391304347826,0.6991683673469388,2.7355857142857145,0.4468368421052632,0.7677581395348837,1.1394277777777777,-0.37796666666666673,0.5096261538461538,-0.0858909090909091,-0.2068333333333333,0.188944,-0.04233703703703702,0.18780704225352113,2.2710454545454546,0.364575,1.1952,0.5543307692307692,0.18854708171206228,0.5077733333333333,0.3401852631578947,0.24303750000000002
2013-05-17,1.5126155963302752,0.44123015873015875,0.1792027777777778,0.1550040650406504,0.4214065217391304,0.38272448979591833,3.8063,0.5891842105263158,0.11792325581395348,0.1650111111111111,-0.33794166666666664,1.350943076923077,0.5897545454545454,-0.24232857142857142,0.21949599999999997,-0.043562962962962984,0.44300140845070424,-0.20455454545454543,0.10476,6.6929,0.5216076923076923,0.6284428015564203,0.076025,0.5776263157894738,0.9143500000000001
2013-05-20,1.8342770642201833,0.6202904761904762,0.049575,0.013956097560975614,0.20222173913043476,0.6846010204081633,1.0098142857142858,-0.2700894736842105,0.4597674418604651,0.013899999999999992,-0.12227499999999995,0.7974600000000001,1.3919,-0.11185238095238095,0.629604,0.8257481481481482,0.47985492957746473,0.9193068181818181,0.4213525000000001,-4.797,0.7746025641025641,0.6691023346303503,0.433365,0.48241578947368424,0.43927083333333333
2013-05-21,1.4339814814814815,0.8407857142857144,0.20863333333333334,1.255810569105691,0.7703239130434782,1.2457285714285715,0.011842857142857266,-0.4193052631578947,0.657993023255814,0.4882722222222222,0.13176666666666667,0.6088892307692308,0.14134545454545455,0.08622380952380952,0.478588,1.1866555555555554,0.17427746478873235,-0.19645454545454547,1.180495,-0.7752,1.2351307692307691,0.7639700389105059,0.5886366666666667,0.9429557894736842,0.1617833333333333
2013-05-22,1.5438425925925927,0.5035190476190476,0.3876555555555556,0.6127178861788618,0.7527673913043478,0.46519897959183676,1.4112571428571428,1.6814526315789475,0.17320465116279068,0.6684611111111111,-0.30920833333333336,-1.4444307692307694,1.5370272727272727,0.8462619047619048,1.072904,0.9057333333333333,0.7104859154929577,0.3846113636363636,0.523175,-0.3906,1.3284666666666667,1.4350381322957197,0.7034083333333333,0.8258810526315791,0.2142208333333333
2013-05-23,-1.0597046296296295,-0.647168253968254,-1.1859777777777778,-1.6099365853658536,-0.9634902173913042,-0.9556673469387755,0.1334571428571429,-1.416142105263158,-0.856693023255814,-1.2773611111111112,-0.5652833333333334,-0.06771515151515158,-0.43318181818181817,-1.257195238095238,-0.15924799999999995,-1.2679481481481483,-0.8757042253521127,-1.9294000000000002,-0.11112500000000003,-0.3922,-0.1904897435897436,-0.9201968871595331,-0.5983616666666667,-0.9529242105263158,-0.974475
2013-05-24,-0.4409518518518518,-0.30813174603174603,-0.5732944444444444,-0.4841853658536585,-0.7626815217391304,-0.4350020408163265,1.0799857142857143,-0.32677894736842106,-0.23451162790697674,-0.6304444444444444,-0.4649833333333333,-1.1795075757575757,-1.9685727272727271,0.38102380952380954,-0.313604,0.03518148148148143,-0.08606056338028172,-0.6482568181818181,-0.5497525000000001,0.0,-0.31946410256410257,-0.627847859922179,-0.63074,-0.4495757894736842,-0.8101583333333333
2013-05-27,0.8100083333333333,0.14043809523809522,0.5174083333333334,0.9130471544715447,0.8232032258064517,0.32858367346938777,0.5087285714285714,0.19628947368421054,0.6282279069767441,0.7256,0.2839583333333333,0.8077409090909091,0.6832909090909092,0.08028095238095237,0.146784,0.9162555555555556,0.5460140845070423,0.7895704545454545,0.31072749999999993,0.0,0.703551282051282,0.8535941634241245,0.8648566666666666,0.5840263157894737,0.9715208333333334
2013-05-28,0.14390925925925926,0.9605793650793651,0.7956472222222222,0.3827926829268293,0.4317989247311828,0.43197040816326526,0.8596714285714285,1.0708631578947367,0.22960930232558138,0.7457722222222222,0.21507500000000002,-0.059484848484848495,-0.7125454545454546,-0.16143333333333332,0.01459999999999997,0.9892592592592593,0.5821690140845069,-0.17028181818181817,-0.02711749999999997,2.3622,0.025376923076923068,0.3532669260700389,0.33242666666666665,0.5204884210526316,-0.04833750000000001
2013-05-29,0.8878675925925926,0.1951698412698413,0.33834166666666665,1.1179130081300812,1.195216129032258,0.9663132653061225,2.349085714285714,2.785131578947368,0.7748046511627907,1.529811111111111,-0.03792500000000001,0.14547121212121214,0.11378181818181816,0.43108571428571424,0.24115999999999996,1.4843259259259258,0.5536211267605634,0.7091818181818182,1.4324175000000001,-1.9231,0.4060410256410256,0.652415953307393,1.0081033333333334,0.9183642105263159,0.6264083333333333
