datetime,光電業,其他,化學工業,半導體,居家生活,建材營造,數位雲端,文化創意業,材料,汽車工業,油電燃氣業,生技醫療,綠能環保,航運業,觀光餐旅,資訊服務業,通信網路業,金融業,鋼鐵工業,電子通路業,電子零組件,電機機械,電腦及週邊,食品工業
2013-05-22,0.07671109313914443,0.021257879313547536,0.006284989901021633,0.029453217648004067,0.029402588398705017,0.0351084553674353,0.09780074601221103,0.019456879213211528,0.02076314907711657,0.024767453779378494,-0.010136712091178538,0.019820107260422725,0.03781347820683542,0.00361496559404947,0.01907785261480138,0.028847654266658244,0.022082933821225087,0.028258084419233654,0.026185486502650172,0.041873613867427384,0.0342403888001874,0.023174064911005536,0.029762116629852075,0.0337100593965578
2013-05-29,0.0018919148572718086,0.003982592301544102,0.0008125446724123437,0.003442765574714422,0.00487510533068494,0.003362266586158341,0.056084264655140235,0.02489066216898626,0.004664470069928515,0.01572110370102283,-0.005728450182837473,-0.013145564690035801,-0.016757042358005254,-0.00817239186953271,-0.006231123785011175,0.023338878821349447,0.0030039366632555985,-0.010884338008321613,0.010589814799641084,0.00010721062321218258,0.003061590997064732,0.010620556270798023,0.005743281782062546,0.013324904448262136
2013-06-05,0.0013439509176158375,0.005505210096146011,-0.0002511932389057025,0.00235445281790538,0.01904676064507947,0.022703870870644023,0.035149056036041904,-0.016563942213310034,-0.004564499664056471,0.0008251069451043451,-0.008773171729369098,0.00854268548541889,-0.008620877122701423,-0.013143368376770305,-0.018731429407777764,0.010346051706152245,-0.004086199131120004,-0.00791533734751925,-0.007952400769737416,-0.00026635835763380415,-0.0052696518421568245,-0.003669217890791492,0.004273171231240391,0.0034828239744331357
2013-06-13,-0.05211080525495334,-0.022662944579612945,-0.011599277470499861,-0.04709347178197662,-0.01981927213312054,-0.029413224774806467,-0.02720987949370897,-0.025924484646677452,-0.011818729745370208,-0.030345856398509275,-0.011505116308421734,0.003535036287204707,0.0005718520944137939,-0.022558691575654637,-0.014163729136021947,0.017005788107218384,-0.03239094498958155,-0.006228589676210103,-0.014271515948016612,-0.014894653449418534,-0.028386499002022836,-0.02195226481796346,-0.032364730625665736,-0.018387439201423005
2013-06-20,-0.007445104155704818,0.008744570091502334,0.018480369927829764,0.0054380771084889265,0.0003327387854882908,-0.015431628877312305,-0.000820512505382634,-0.016688373874025737,0.008465018228916448,-0.013937691381038345,-0.0013595705282877328,0.017905580943212176,-0.015830024023949212,-0.0017002231533001643,-0.001873386499003075,0.044163739380134445,-0.0019751273412969453,-0.009522303386306535,-0.00613232497847441,-0.007295960683140499,0.0010095401687019293,0.0064217651992380794,0.009224902088712184,0.0029238766582249023
2013-06-27,-0.019061895536649356,-0.0026174801637155395,-0.01394271772480193,-0.011703420627914927,-0.01262897776397759,-0.0111455927406036,-0.013084971326190256,-0.025083557714152785,-0.006915018926474625,-0.004238377405033247,0.0006477928864837371,-0.02982203521033119,-0.013152887230020708,-0.007402583064071229,-0.009287925441932377,-0.02331182158405592,0.008217803288329956,-0.002497377854780733,-0.0065416126830231455,-0.0093149305052362,-0.007865096152828202,-0.01219317873165995,-0.011450758695505133,-0.00726010429644429
2013-07-04,-0.005752121520230326,0.004476280604906862,-0.0034477934723258145,-0.0031900807068538876,0.013377710471713086,0.002450571799875531,0.004312513229869738,0.002624250986624869,0.0081236399255792,0.026055523073760006,0.0035727670904133666,0.005277417620179224,0.022209293316768186,-0.0025784115322210373,0.0022184340531746457,-0.020636109200678626,-0.005171162367724115,-0.006021509751513727,-0.004845967847176782,0.004447966236890497,-0.0015304924546990389,0.007722426923336997,-0.0021227588138784154,0.015071452183530383
2013-07-11,0.003363244391111398,0.030727603129212473,0.017890301270334676,0.00581617481217176,0.02672536333436366,0.016969453459008816,0.056326066186494425,-0.005314052636851215,0.02814143208607802,0.05099130165073477,0.0136670671086671,-0.002171837986990543,-0.007699429932147238,0.009215924757146398,0.009679252756237202,0.012297882160755245,0.003555973557977633,0.032760817247087806,0.02212602204611979,0.003965602205349339,0.004566993434321963,0.024612128068616557,0.01622865118623569,0.014988778259808372
2013-07-18,0.009941987356891169,0.024926301002228448,0.016165481345827355,-0.004895620055215626,0.014201158406546868,0.02971084106381201,0.0001972847686719792,-0.007193988113525649,0.035633132447489946,0.06333824670436052,0.01135794283645957,0.0516848961470544,0.009736948741455623,0.021784987383878768,0.00864366250070891,0.016686360289672377,0.016572657191571104,0.016916254494476875,0.009810688078743399,0.010619110050953506,0.015929456713685,0.03013461709239261,0.016453050744138466,0.04450700178129078
2013-07-25,0.012733823172804082,0.0013624268523931978,-0.0033052534496324556,0.005616219853487473,0.022515557601728502,-0.0022356923900568497,0.05294959007532399,0.004808364445966816,0.01654010408857439,0.017260143181196952,-0.0010549222303210815,-0.009297032462755017,0.0006364854016803756,0.007916916532958859,0.020714665360024934,0.006592801022256583,0.015260888020061666,0.005675831073583061,-0.001470717276997538,-0.0021791926125075967,0.015375133436605522,0.026731401409281676,0.003938804740893981,-0.0044076584347836475
2013-08-01,-0.015466789435138255,-0.0045160807386082965,0.0008730432667755012,-0.014393232926013024,-0.0010611644423232252,-0.006113269311062056,0.03366074981244439,-0.011666581261610643,-0.00029511602814847584,0.010248333000484227,0.005439532841328522,0.02659272244969146,-0.019339672910193423,-0.013045618112878007,0.014474538114459807,-0.0009530198747372286,-0.013394768347693634,-0.0026119643888688616,-0.006004432960346038,0.0013799075644798588,-0.007845105538806093,0.0035885736006703362,-0.007845190430860995,0.003205322124833723
