datetime,光電業,其他,化學工業,半導體,居家生活,建材營造,數位雲端,文化創意業,材料,汽車工業,油電燃氣業,生技醫療,綠能環保,航運業,觀光餐旅,資訊服務業,通信網路業,金融業,鋼鐵工業,電子商務,電子通路業,電子零組件,電機機械,電腦及週邊,食品工業
2013-07-30,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-07-31,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-01,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-02,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-05,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-06,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-07,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-08,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-09,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-12,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-13,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-14,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-15,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-16,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-19,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-20,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-22,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-23,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-26,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-27,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-28,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-29,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
2013-08-30,1,5,5,1,5,5,2,1,5,0,4,5,4,4,4,1,4,5,4,3,4,1,5,1,5
